Player,2023-24,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Trendon Watford,1836096,PF,22,62,12,19.1,2.9,5.2,0.56,0.4,1.0,0.391,2.5,4.2,0.602,0.599,1.2,1.6,0.72,0.7,3.2,3.8,2.1,0.5,0.2,1.1,1.9,7.4
Rui Hachimura,15740741,PF,24,63,9,23.3,4.5,9.3,0.486,0.8,2.5,0.319,3.7,6.7,0.55,0.53,1.4,1.9,0.739,0.8,3.7,4.5,0.9,0.3,0.4,0.8,1.1,11.2
Drew Eubanks,2346614,C,25,78,28,20.3,2.7,4.3,0.641,0.1,0.2,0.389,2.7,4.1,0.655,0.651,1.1,1.6,0.664,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,6.6
Anthony Davis,40600080,C,29,56,54,34.0,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,0.573,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,2.6,25.9
Herbert Jones,12015150,PF,24,66,66,29.6,3.6,7.6,0.469,0.8,2.5,0.335,2.7,5.1,0.536,0.525,1.9,2.4,0.764,1.5,2.6,4.1,2.5,1.6,0.6,1.3,3.2,9.8
Caleb Martin,6802950,SF,27,71,49,29.3,3.6,7.7,0.464,1.2,3.3,0.356,2.4,4.4,0.545,0.54,1.3,1.6,0.805,1.2,3.6,4.8,1.6,1.0,0.4,1.1,2.0,9.6
Otto Porter Jr.,6300000,SF,29,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1.0,1.0,1000.0,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5
Mike Muscala,3500000,C,31,63,9,15.0,2.1,4.6,0.449,1.3,3.3,0.391,0.8,1.3,0.588,0.587,0.6,0.8,0.769,0.6,2.6,3.2,0.8,0.2,0.4,0.4,1.6,6.1
Grant Williams,12405000,PF,24,79,23,25.9,2.7,6.0,0.454,1.5,3.7,0.395,1.3,2.3,0.546,0.575,1.2,1.5,0.77,1.1,3.5,4.6,1.7,0.5,0.4,1.0,2.4,8.1
Doug McDermott,13750000,SF,31,64,0,20.5,3.7,8.2,0.457,1.9,4.7,0.413,1.8,3.5,0.516,0.575,0.8,1.1,0.757,0.4,1.8,2.2,1.4,0.2,0.1,0.9,1.8,10.2
Oshae Brissett,2165000,PF,24,65,2,16.7,1.9,4.9,0.386,0.7,2.4,0.31,1.2,2.5,0.457,0.461,1.6,2.2,0.717,1.0,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1
Zach LaVine,40064220,SG,27,77,77,35.9,8.7,18.0,0.485,2.6,7.1,0.375,6.1,11.0,0.556,0.558,4.7,5.6,0.848,0.5,3.9,4.5,4.2,0.9,0.2,2.5,2.1,24.8
Evan Fournier,18857143,SG,30,27,7,17.0,2.1,6.1,0.337,1.3,4.2,0.307,0.8,1.9,0.404,0.443,0.7,0.8,0.857,0.1,1.7,1.8,1.3,0.6,0.1,0.8,1.7,6.1
Jalen Duren,4330680,C,19,67,31,24.9,3.9,5.9,0.648,0.0,0.0,0.0,3.9,5.9,0.652,0.648,1.4,2.3,0.611,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1
Mark Williams,3908160,C,21,43,17,19.3,3.7,5.8,0.637,0.0,0.0,,3.7,5.8,0.637,0.637,1.6,2.3,0.691,2.2,4.9,7.1,0.4,0.7,1.0,0.9,2.2,9.0
